name,class,occupation,physicalDescription,personality,background,specialSkills,visualPrompt
"Thorne Rivenguard","Ranger","Arqueiro","Thorne Rivenguard tem cerca de 1.90m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Arqueiro Ranger em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Luna Stormborn","Paladin","Clérigo","Luna Stormborn tem cerca de 1.82m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Clérigo Paladin em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Kai Silverleaf","Cleric","Druida","Kai Silverleaf tem cerca de 1.88m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Druida Cleric em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Mara Nightfall","Rogue","Bardo","Mara Nightfall tem cerca de 1.90m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Bardo Rogue em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Orion Ashenvale","Druid","Paladino","Orion Ashenvale tem cerca de 1.77m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Paladino Druid em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Selene Ironheart","Bard","Warlock","Selene Ironheart tem cerca de 1.68m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Warlock Bard em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Darius Sunspire","Barbarian","Warlock","Darius Sunspire tem cerca de 1.79m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Warlock Barbarian em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Aria Frostbane","Sorcerer","Rogue","Aria Frostbane tem cerca de 1.93m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Rogue Sorcerer em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Riven Starcrest","Rogue","Monge","Riven Starcrest tem cerca de 1.84m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Monge Rogue em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Nyx Shadowmere","Druid","Warlock","Nyx Shadowmere tem cerca de 1.88m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Warlock Druid em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
