name,type,visualDescription,properties,rarity,estimatedValue,visualPrompt
"Espada Curta do Crepúsculo","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","104","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto da Vigília","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","485","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve do Sussurro","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","340","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro da Tempestade","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","185","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico do Crepúsculo","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","147","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada da Tempestade","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","192","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Lança Equilibrada da Aurora","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","225","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Elmo da Vigília do Crepúsculo","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","303","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Botas Silenciosas do Crepúsculo","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","398","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Amuleto do Foco da Tempestade","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","174","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
